,Quality of Life Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,pop_thou,Percent Fertile,chrstpct,judpct,islmpct,budpct,zorpct,bahpct,anmpct,nonpct,othrpct,Country,AvgTemperature,pct_lt_sec,pct_some_sec,pct_some_ter,avg_5_yr_pct_growth,OC,AS,EU,SA,NA,AF
0,199.10176470588237,64.79647058823531,71.12352941176471,84.72352941176472,5.124117647058824,27.40117647058824,1265.0,47.940359271216195,1,0,0,0,0,0,0,1,1,Australia,68.07249082667806,0.07500000000000001,0.44,0.33,0.03636363636363636,1,0,0,0,0,0
1,113.27214285714285,69.21571428571428,68.04642857142856,26.80071428571429,8.554285714285715,41.815714285714286,7335.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.1460122699386503,0,1,0,0,0,0
2,90.72416666666668,41.09916666666667,54.72,34.26333333333333,12.1375,32.410000000000004,1503.0,50.65581578303932,0,0,1,0,0,0,0,0,0,Kazakhstan,49.31983810037768,0.02,0.6,0.265,0.06852960745176315,0,1,0,0,0,0
3,96.460625,56.30375,68.58250000000001,58.33000000000001,8.57875,48.328125,1142.0,52.75953302260418,0,0,1,0,0,0,0,0,0,Jordan,64.16010144614735,0.125,0.29000000000000004,0.265,0.028896672504378284,0,1,0,0,0,0
4,174.90571428571425,66.09857142857143,69.25214285714286,82.35428571428572,10.19285714285714,28.74285714285714,1096.0,44.442243382065904,1,0,0,0,0,0,0,1,1,,49.648305633498744,0.08499999999999999,0.405,0.27,0.03467153284671533,0,0,1,0,0,0
5,119.6423529411765,59.172941176470594,65.0770588235294,41.25117647058824,6.311764705882353,36.99470588235293,4708.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.1110875106202209,0,1,0,0,0,0
6,154.54,64.25,79.12142857142855,74.53571428571429,5.9557142857142855,37.31428571428571,993.0,44.70307508783802,1,0,0,0,0,0,0,1,1,Belgium,51.05704726958768,0.08,0.33,0.355,0.022155085599194362,0,0,1,0,0,0
7,125.65,66.28333333333332,66.90666666666665,32.34,7.489999999999998,31.92,745.0,50.65581578303932,0,0,1,0,0,0,0,0,0,Kazakhstan,49.31983810037768,0.02,0.6,0.265,0.13288590604026845,0,1,0,0,0,0
8,164.68588235294118,53.70588235294117,72.85117647058824,87.47999999999998,9.83764705882353,37.896470588235296,1346.0,46.54281859949471,1,0,0,0,0,0,0,1,1,New Zealand,58.91374919058918,0.055,0.47,0.34,0.058692421991084695,1,0,0,0,0,0
9,98.80363636363636,70.48727272727272,39.99363636363636,30.995454545454546,18.30454545454545,37.775454545454544,2355.0,54.74899400578398,0,0,1,0,0,0,0,0,0,,65.36514840798709,0.045,0.645,0.15,0.10785562632696391,0,1,0,0,0,0
10,113.87000000000002,49.73222222222223,66.73388888888888,28.45055555555555,8.297222222222222,49.87777777777778,10066.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.16779256904430756,0,1,0,0,0,0
11,128.49176470588233,57.31235294117647,72.53764705882355,67.01,12.474705882352946,31.292352941176468,5223.0,46.72027823721074,1,0,0,0,0,0,0,1,1,Spain,61.26926397582565,0.15000000000000002,0.33,0.22,0.05514072372199885,0,0,1,0,0,0
12,61.21499999999999,59.044285714285714,63.01428571428573,47.931428571428576,39.91714285714287,45.164285714285704,20258.0,52.973105968645925,0,0,0,1,0,0,1,1,0,China,54.719976257284614,0.21,0.45,0.105,0.18738276236548523,0,1,0,0,0,0
13,177.04000000000005,60.50600000000001,63.86800000000001,69.548,4.303999999999999,34.344,608.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.019736842105263157,0,0,1,0,0,0
14,93.79,33.806,60.03399999999999,41.854,20.658,46.661,5698.0,54.59654890159675,1,0,0,0,0,0,1,0,0,Brazil,70.36527088279736,0.195,0.305,0.105,0.05054405054405054,0,0,0,1,0,0
15,174.9235294117647,63.84999999999999,72.06882352941173,72.75941176470587,8.769411764705879,34.387647058823525,3554.0,43.06582000928393,1,0,0,0,0,0,0,1,1,Germany,-46.86804979253114,0.04,0.485,0.3,0.021947101857062466,0,0,1,0,0,0
16,150.63166666666666,41.68666666666667,73.76,67.08166666666666,7.566666666666666,33.895,2518.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.03494837172359015,0,0,1,0,0,0
17,71.64666666666669,41.867222222222225,67.44166666666666,41.071111111111115,20.588333333333328,48.242222222222225,9655.0,53.849560117675864,1,0,0,0,0,1,1,0,0,Colombia,55.243956399740725,0.25,0.28500000000000003,0.19,0.11538063179699637,0,0,0,1,0,0
18,139.885,55.265,78.1875,72.8275,10.5625,32.47,782.0,43.34413349593153,1,0,0,0,0,0,0,1,0,Italy,54.195920569825184,0.135,0.385,0.125,0.02557544757033248,0,0,1,0,0,0
19,131.31076923076924,37.44307692307692,46.24153846153846,48.62923076923077,13.301538461538465,29.341538461538462,4125.0,54.59654890159675,1,0,0,0,0,0,1,0,0,Brazil,70.36527088279736,0.195,0.305,0.105,0.0976969696969697,0,0,0,1,0,0
20,145.31785714285715,68.525,59.902142857142856,51.82071428571428,12.37142857142857,32.02928571428571,401.0,49.79595686068357,1,0,0,0,0,0,0,1,1,Slovakia,51.4464601769912,0.0,0.715,0.14,-0.029925187032418952,0,0,1,0,0,0
21,188.36944444444438,62.95388888888889,80.93444444444442,87.9311111111111,6.263888888888888,43.75222222222222,2208.0,47.940359271216195,1,0,0,0,0,0,0,1,1,Australia,68.07249082667806,0.07500000000000001,0.44,0.33,0.0792572463768116,1,0,0,0,0,0
22,166.26875,60.68625000000001,75.18375,74.77125000000002,9.70875,28.14625,648.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.05401234567901234,0,0,1,0,0,0
23,149.26055555555556,70.58722222222222,69.85722222222222,49.191111111111105,11.167777777777774,27.073333333333334,391.0,45.680610662694775,1,0,0,0,0,0,0,1,1,Czechia,44.86714871573494,0.07500000000000001,0.4225,0.25,0.015345268542199489,0,0,1,0,0,0
24,110.7227777777778,62.47666666666667,51.249444444444435,49.070555555555565,12.347222222222221,36.48222222222222,1725.0,47.33175731106926,1,0,0,0,0,0,0,1,1,Hungary,51.099061083531026,0.025,0.585,0.14500000000000002,-0.0052173913043478265,0,0,1,0,0,0
25,97.74611111111112,39.155555555555566,73.67277777777777,55.00833333333335,17.3,47.289444444444456,15106.0,50.227099694628784,1,1,0,0,0,0,0,1,0,Argentina,62.30489963306714,0.25,0.33,0.135,0.056533827618164965,0,0,0,1,0,0
26,171.39615384615385,77.17846153846153,80.94615384615386,38.62076923076923,5.283846153846153,36.920769230769245,1904.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.1323529411764706,0,1,0,0,0,0
27,186.6727777777777,67.67944444444444,72.96055555555556,80.53777777777779,4.8872222222222215,37.84555555555556,1330.0,46.63107885173257,1,1,0,1,1,1,0,1,0,Canada,39.38388732394368,0.035,0.355,0.545,0.10225563909774436,0,0,0,0,1,0
28,128.376,32.94000000000001,61.56,40.73,11.307999999999998,30.154000000000003,386.0,54.59654890159675,1,0,0,0,0,0,1,0,0,Brazil,70.36527088279736,0.195,0.305,0.105,0.046632124352331605,0,0,0,1,0,0
29,226.20705882352942,73.95294117647056,81.56352941176472,85.56058823529412,5.491176470588236,20.39294117647059,424.0,47.940359271216195,1,0,0,0,0,0,0,1,1,Australia,68.07249082667806,0.07500000000000001,0.44,0.33,0.08726415094339622,1,0,0,0,0,0
30,154.77117647058822,28.78294117647059,72.49235294117645,44.01411764705883,6.168823529411767,43.53411764705883,3621.0,54.85852603729413,1,0,0,0,0,1,1,0,0,South Africa,61.940416576731884,0.105,0.385,0.045,0.0767743717205192,0,0,0,0,0,1
31,93.57277777777777,58.805555555555564,69.93444444444444,26.858888888888888,13.81388888888889,45.48055555555555,9884.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.1320315661675435,0,1,0,0,0,0
32,143.25823529411767,78.53529411764707,61.66647058823529,40.124705882352956,12.417647058823528,27.85,328.0,47.32502514434918,1,0,0,0,0,0,0,1,1,Romania,52.364504640621774,0.06000000000000001,0.545,0.14,0.01524390243902439,0,0,1,0,0,0
33,112.05846153846156,60.11461538461539,73.35230769230769,23.84615384615385,11.11076923076923,52.21153846153847,2546.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.16692851531814612,0,1,0,0,0,0
34,82.40166666666667,60.69416666666666,74.77583333333331,35.8275,27.92583333333333,59.3675,707.0,49.299458343315536,0,0,1,0,0,0,0,0,0,Sri Lanka,74.24142024606091,0.275,0.265,0.105,0.031117397454031116,0,1,0,0,0,0
35,114.088125,38.886875,59.73625,48.97624999999999,13.788125,32.940625000000004,3450.0,54.59654890159675,1,0,0,0,0,0,1,0,0,Brazil,70.36527088279736,0.195,0.305,0.105,0.0936231884057971,0,0,0,1,0,0
36,90.20285714285713,71.63714285714283,72.43857142857144,33.47428571428571,26.51142857142857,29.608571428571434,1627.0,52.493163282874114,0,0,1,0,0,0,0,0,0,Philippines,81.54242391538948,0.21,0.32,0.315,0.10264290104486785,0,1,0,0,0,0
37,72.32166666666666,42.336111111111116,66.76888888888891,30.059999999999995,15.636666666666665,51.900555555555535,25662.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.1386875535811706,0,1,0,0,0,0
38,47.08666666666666,33.06833333333333,39.2275,35.606666666666655,14.36,60.00833333333333,17772.0,55.90366745237341,0,0,1,0,0,0,0,0,0,Bangladesh,10.10987951807226,0.265,0.185,0.08499999999999999,0.16239027683997298,0,1,0,0,0,0
39,95.945,46.75166666666666,50.70833333333334,30.22,10.418333333333333,31.85,956.0,48.00008423027182,1,0,0,0,0,0,0,1,0,Ukraine,47.66315562270661,0.025,0.7,0.185,-0.049163179916317995,0,0,1,0,0,0
40,141.275,47.71166666666666,47.19777777777777,90.30055555555559,8.714444444444442,34.946111111111115,1176.0,48.52441760481121,1,0,0,0,0,0,0,1,1,Ireland,49.066781782862044,0.1,0.24,0.455,0.06292517006802721,0,0,1,0,0,0
41,139.37083333333334,20.194166666666664,51.72083333333333,39.78250000000001,3.274999999999999,30.934166666666666,2878.0,54.85852603729413,1,0,0,0,0,1,1,0,0,South Africa,61.940416576731884,0.105,0.385,0.045,0.050382209867963865,0,0,0,0,0,1
42,176.0075,68.98,72.91999999999999,69.09,10.4225,30.1875,602.0,43.06582000928393,1,0,0,0,0,0,0,1,1,Germany,-46.86804979253114,0.04,0.485,0.3,0.023255813953488372,0,0,1,0,0,0
43,189.6657142857143,70.01428571428572,77.83642857142857,76.68000000000002,7.845714285714287,25.03571428571429,496.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.03225806451612903,0,0,1,0,0,0
44,175.90444444444444,59.48333333333333,77.05666666666667,79.17444444444442,4.349444444444445,35.09222222222222,1266.0,46.63107885173257,1,1,0,1,1,1,0,1,0,Canada,39.38388732394368,0.035,0.355,0.545,0.09794628751974724,0,0,0,0,1,0
45,198.053,75.16,79.29299999999998,76.05,5.476,26.109,337.0,44.442243382065904,1,0,0,0,0,0,0,1,1,,49.648305633498744,0.08499999999999999,0.405,0.27,0.026706231454005934,0,0,1,0,0,0
46,181.5592307692308,61.07999999999999,70.10307692307694,78.48384615384614,8.721538461538461,26.63538461538462,713.0,43.06582000928393,1,0,0,0,0,0,0,1,1,Germany,-46.86804979253114,0.04,0.485,0.3,0.043478260869565216,0,0,1,0,0,0
47,147.02230769230766,67.10076923076923,57.41307692307691,44.066923076923075,12.06,28.28461538461539,462.0,48.1612394817352,1,0,0,0,0,0,0,0,1,Poland,47.77608461040342,0.005,0.625,0.21,0.0021645021645021645,0,0,1,0,0,0
48,168.62,75.08,83.72,73.71,9.04,43.13,435.0,44.70307508783802,1,0,0,0,0,0,0,1,1,Belgium,51.05704726958768,0.08,0.33,0.355,0.02528735632183908,0,0,1,0,0,0
49,174.275,54.25699999999999,84.391,69.985,6.367999999999999,37.666,1228.0,45.680610662694775,1,0,0,0,0,0,0,1,1,United Kingdom,49.648305633498744,0.205,0.38,0.28,0.01710097719869707,0,0,1,0,0,0
50,123.70900000000002,41.841,78.15599999999998,33.702000000000005,8.703999999999999,42.30900000000001,4831.0,53.3109535033709,1,0,0,0,0,0,0,0,0,Mexico,2.6051114482436546,0.195,0.325,0.14500000000000002,0.07886565928379217,0,0,0,0,1,0
51,167.52499999999995,57.99300000000001,72.035,74.66,6.263999999999999,29.419,405.0,46.63107885173257,1,1,0,1,1,1,0,1,0,Canada,39.38388732394368,0.035,0.355,0.545,0.044444444444444446,0,0,0,0,1,0
52,174.36714285714288,55.75428571428571,77.30000000000003,76.38000000000002,9.68,32.145,1827.0,43.06582000928393,1,0,0,0,0,0,0,1,1,Germany,-46.86804979253114,0.04,0.485,0.3,0.022988505747126436,0,0,1,0,0,0
53,165.2766666666666,52.92166666666667,81.47666666666667,65.37416666666665,6.193333333333333,35.641666666666666,745.0,46.63107885173257,1,1,0,1,1,1,0,1,0,Canada,39.38388732394368,0.035,0.355,0.545,0.038926174496644296,0,0,0,0,1,0
54,178.21,73.42214285714286,74.90857142857145,82.52071428571429,11.407142857142857,32.46,1176.0,42.85127800809821,1,0,0,0,0,0,0,1,1,Finland,42.243999568314145,0.01,0.36,0.405,0.045068027210884355,0,0,1,0,0,0
55,115.87470588235294,59.92,67.81411764705884,25.642941176470586,7.349411764705882,44.528235294117664,8933.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.14463226239785065,0,1,0,0,0,0
56,130.13,68.19285714285715,64.69285714285715,24.585714285714282,11.481428571428573,31.81142857142857,1367.0,51.23566455759742,0,0,1,0,0,0,0,0,0,Pakistan,65.36514840798709,0.45,0.205,0.055,0.22165325530358448,0,1,0,0,0,0
57,100.90277777777777,53.64111111111111,69.76500000000001,47.08055555555556,10.828888888888885,58.13666666666666,13988.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.10923648841864456,0,1,0,0,0,0
58,139.57166666666666,72.49749999999997,74.7275,36.85916666666667,8.507500000000002,37.71999999999999,3020.0,52.974103012532886,0,0,1,0,0,0,0,0,0,Turkey,50.90390675588181,0.43,0.265,0.105,0.0890728476821192,0,1,0,0,0,0
59,46.82941176470589,47.782352941176484,57.97764705882353,45.46764705882354,20.08411764705882,53.532941176470594,10417.0,54.16933307395194,0,0,1,0,0,0,0,0,0,Indonesia,35.988407987047964,0.3,0.28500000000000003,0.08499999999999999,0.07391763463569166,0,1,0,0,0,0
60,138.54545454545456,64.66272727272727,56.37454545454546,50.67727272727273,3.186363636363636,34.05818181818181,4001.0,60.82408367016862,0,0,1,0,0,0,0,0,0,Saudi Arabia,79.62967839412913,0.115,0.265,0.275,0.13246688327918021,0,1,0,0,0,0
61,125.05111111111107,18.422777777777775,60.452777777777776,49.374444444444435,3.1372222222222224,41.218888888888884,9250.0,54.85852603729413,1,0,0,0,0,1,1,0,0,South Africa,61.940416576731884,0.105,0.385,0.045,0.1309189189189189,0,0,0,0,0,1
62,74.45615384615384,38.61000000000001,56.738461538461536,25.281538461538464,12.670769230769231,40.526923076923076,16643.0,51.23566455759742,0,0,1,0,0,0,0,0,0,Pakistan,65.36514840798709,0.45,0.205,0.055,0.1470888661899898,0,1,0,0,0,0
63,82.25285714285714,64.87142857142858,55.89,31.201428571428572,25.08,40.52428571428572,1183.0,52.130749090212326,0,0,1,0,0,0,0,0,0,Nepal,49.4923475445224,0.355,0.30000000000000004,0.045,0.16906170752324598,0,1,0,0,0,0
64,105.9875,52.89,45.78375,29.275,12.415,37.57375,1440.0,48.00008423027182,1,0,0,0,0,0,0,1,0,Ukraine,47.66315562270661,0.025,0.7,0.185,-0.008333333333333333,0,0,1,0,0,0
65,60.85722222222223,49.29222222222222,48.56777777777778,26.472222222222214,11.448888888888886,64.24722222222222,14958.0,53.94534356764935,0,0,1,0,1,1,0,0,0,India,81.53172890135951,0.28500000000000003,0.26,0.095,0.04505949993314614,0,1,0,0,0,0
66,127.11769230769232,68.99000000000001,61.231538461538456,41.482307692307685,12.820769230769232,31.21307692307692,762.0,48.1612394817352,1,0,0,0,0,0,0,0,1,Poland,47.77608461040342,0.005,0.625,0.21,0.003937007874015748,0,0,1,0,0,0
67,81.915,30.28500000000001,62.99111111111111,46.007777777777775,9.819444444444443,42.013888888888886,6830.0,56.14954092405966,0,0,1,0,0,0,0,0,0,Malaysia,78.95312972156226,0.08499999999999999,0.44,0.205,0.14231332357247437,0,1,0,0,0,0
68,51.92,35.24,49.14833333333333,35.776666666666664,14.756666666666668,69.14666666666666,13357.0,46.386841450968426,1,0,0,0,0,1,1,0,0,Nigeria,38.574221321853685,0.255,0.25,0.11,0.18237628209927378,0,0,0,0,0,1
69,99.339,57.304,62.96000000000002,25.590000000000003,14.565000000000005,39.37300000000001,8760.0,51.23566455759742,0,0,1,0,0,0,0,0,0,Pakistan,65.36514840798709,0.45,0.205,0.055,0.1393835616438356,0,1,0,0,0,0
